Field_Name,Field_Description,Module
SCH_DUALENR_TR_M,Dual Enrollment: Two or More Races Male,Dual Enrollment
SCH_DUALENR_TR_F,Dual Enrollment: Two or More Races Female,Dual Enrollment
TOT_DUAL_M,Dual Enrollment: Calculated Male Total,Dual Enrollment
TOT_DUAL_F,Dual Enrollment: Calculated Female Total,Dual Enrollment
SCH_DUALENR_LEP_M,Dual Enrollment: LEP Male,Dual Enrollment
SCH_DUALENR_LEP_F,Dual Enrollment: LEP Female,Dual Enrollment
SCH_DUALENR_IDEA_M,Dual Enrollment: IDEA Male,Dual Enrollment
SCH_DUALENR_IDEA_F,Dual Enrollment: IDEA Female,Dual Enrollment
SCH_APENR_IND,Advanced Placement (AP) Program Indicator: Does this school have any students enrolled in Advanced Placement (AP) courses?,Advanced Placement
SCH_APENR_HI_M,Students Enrolled in at least one AP Course: Hispanic Male,Advanced Placement
SCH_APENR_HI_F,Students Enrolled in at least one AP Course: Hispanic Female,Advanced Placement
SCH_APENR_AM_M,Students Enrolled in at least one AP Course: American Indian/Alaska Native Male,Advanced Placement
SCH_APENR_AM_F,Students Enrolled in at least one AP Course: American Indian/Alaska Native Female,Advanced Placement
SCH_APENR_AS_M,Students Enrolled in at least one AP Course: Asian Male,Advanced Placement
SCH_APENR_AS_F,Students Enrolled in at least one AP Course: Asian Female,Advanced Placement
SCH_APENR_HP_M,Students Enrolled in at least one AP Course: Native Hawaiian/Pacific Islander Male,Advanced Placement
SCH_APENR_HP_F,Students Enrolled in at least one AP Course: Native Hawaiian/Pacific Islander Female,Advanced Placement
SCH_APENR_BL_M,Students Enrolled in at least one AP Course: Black Male,Advanced Placement
SCH_APENR_BL_F,Students Enrolled in at least one AP Course: Black Female,Advanced Placement
SCH_APENR_WH_M,Students Enrolled in at least one AP Course: White Male,Advanced Placement
SCH_APENR_WH_F,Students Enrolled in at least one AP Course: White Female,Advanced Placement
SCH_APENR_TR_M,Students Enrolled in at least one AP Course: Two or More Races Male,Advanced Placement
SCH_APENR_TR_F,Students Enrolled in at least one AP Course: Two or More Races Female,Advanced Placement
TOT_APENR_M,Students Enrolled in at least one AP Course: Calculated Male Total,Advanced Placement
TOT_APENR_F,Students Enrolled in at least one AP Course: Calculated Female Total,Advanced Placement
SCH_APENR_LEP_M,Students Enrolled in at least one AP Course: LEP Male,Advanced Placement
SCH_APENR_LEP_F,Students Enrolled in at least one AP Course: LEP Female,Advanced Placement
SCH_APENR_IDEA_M,Students Enrolled in at least one AP Course: IDEA Male,Advanced Placement
SCH_APENR_IDEA_F,Students Enrolled in at least one AP Course: IDEA Female,Advanced Placement
SCH_IBENR_IND,International Baccalaureate Diploma Programme Indicator,International Baccalaureate
SCH_IBENR_HI_M,IB Student Enrollment: Hispanic Male,International Baccalaureate
SCH_IBENR_HI_F,IB Student Enrollment: Hispanic Female,International Baccalaureate
SCH_IBENR_AM_M,IB Student Enrollment: American Indian/Alaska Native Male,International Baccalaureate
SCH_IBENR_AM_F,IB Student Enrollment: American Indian/Alaska Native Female,International Baccalaureate
SCH_IBENR_AS_M,IB Student Enrollment: Asian Male,International Baccalaureate
SCH_IBENR_AS_F,IB Student Enrollment: Asian Female,International Baccalaureate
SCH_IBENR_HP_M,IB Student Enrollment: Native Hawaiian/Pacific Islander Male,International Baccalaureate
SCH_IBENR_HP_F,IB Student Enrollment: Native Hawaiian/Pacific Islander Female,International Baccalaureate
SCH_IBENR_BL_M,IB Student Enrollment: Black Male,International Baccalaureate
SCH_IBENR_BL_F,IB Student Enrollment: Black Female,International Baccalaureate
SCH_IBENR_WH_M,IB Student Enrollment: White Male,International Baccalaureate
SCH_IBENR_WH_F,IB Student Enrollment: White Female,International Baccalaureate
SCH_IBENR_TR_M,IB Student Enrollment: Two or More Races Male,International Baccalaureate
SCH_IBENR_TR_F,IB Student Enrollment: Two or More Races Female,International Baccalaureate
TOT_IBENR_M,IB Student Enrollment: Calculated Male Total,International Baccalaureate
TOT_IBENR_F,IB Student Enrollment: Calculated Female Total,International Baccalaureate
SCH_IBENR_LEP_M,IB Student Enrollment: LEP Male,International Baccalaureate
SCH_IBENR_LEP_F,IB Student Enrollment: LEP Female,International Baccalaureate
SCH_IBENR_IDEA_M,IB Student Enrollment: IDEA Male,International Baccalaureate
SCH_IBENR_IDEA_F,IB Student Enrollment: IDEA Female,International Baccalaureate
